depth,cali,gr,density,nphi,res,sonic
712.5,-999.25,73.696,-999.25,-999.25,-999.25,-999.25
713,-999.25,68.4693,-999.25,-999.25,-999.25,-999.25
713.5,-999.25,63.2427,-999.25,-999.25,-999.25,-999.25
714,-999.25,58.016,-999.25,-999.25,-999.25,-999.25
714.5,-999.25,57.232,-999.25,-999.25,-999.25,-999.25
715,-999.25,56.448,-999.25,-999.25,-999.25,-999.25
715.5,-999.25,208.544,-999.25,-999.25,-999.25,-999.25
716,-999.25,360.64,-999.25,-999.25,-999.25,-999.25
716.5,-999.25,282.632,-999.25,-999.25,-999.25,-999.25
717,-999.25,204.624,-999.25,-999.25,-999.25,-999.25
717.5,-999.25,126.616,-999.25,-999.25,-999.25,-999.25
718,-999.25,48.608,-999.25,-999.25,-999.25,-999.25
718.5,-999.25,43.12,-999.25,-999.25,-999.25,-999.25
719,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
719.5,-999.25,34.888,-999.25,-999.25,-999.25,-999.25
720,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
720.5,-999.25,29.4,-999.25,-999.25,-999.25,-999.25
721,-999.25,26.656,-999.25,-999.25,-999.25,-999.25
721.5,-999.25,30.184,-999.25,-999.25,-999.25,-999.25
722,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
722.5,-999.25,37.24,-999.25,-999.25,-999.25,-999.25
723,-999.25,40.768,-999.25,-999.25,-999.25,-999.25
723.5,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
724,-999.25,26.656,-999.25,-999.25,-999.25,-999.25
724.5,-999.25,25.872,-999.25,-999.25,-999.25,-999.25
725,-999.25,25.088,-999.25,-999.25,-999.25,-999.25
725.5,-999.25,31.36,-999.25,-999.25,-999.25,-999.25
726,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
726.5,-999.25,43.904,-999.25,-999.25,-999.25,-999.25
727,-999.25,50.176,-999.25,-999.25,-999.25,-999.25
727.5,-999.25,47.04,-999.25,-999.25,-999.25,-999.25
728,-999.25,43.904,-999.25,-999.25,-999.25,-999.25
728.5,-999.25,40.768,-999.25,-999.25,-999.25,-999.25
729,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
729.5,-999.25,38.416,-999.25,-999.25,-999.25,-999.25
730,-999.25,39.2,-999.25,-999.25,-999.25,-999.25
730.5,-999.25,39.984,-999.25,-999.25,-999.25,-999.25
731,-999.25,40.768,-999.25,-999.25,-999.25,-999.25
731.5,-999.25,38.808,-999.25,-999.25,-999.25,-999.25
732,-999.25,36.848,-999.25,-999.25,-999.25,-999.25
732.5,-999.25,34.888,-999.25,-999.25,-999.25,-999.25
733,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
733.5,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
734,-999.25,34.496,-999.25,-999.25,-999.25,-999.25
734.5,-999.25,35.28,-999.25,-999.25,-999.25,-999.25
735,-999.25,36.064,-999.25,-999.25,-999.25,-999.25
735.5,-999.25,34.104,-999.25,-999.25,-999.25,-999.25
736,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
736.5,-999.25,30.184,-999.25,-999.25,-999.25,-999.25
737,-999.25,28.224,-999.25,-999.25,-999.25,-999.25
737.5,-999.25,27.44,-999.25,-999.25,-999.25,-999.25
738,-999.25,26.656,-999.25,-999.25,-999.25,-999.25
738.5,-999.25,25.872,-999.25,-999.25,-999.25,-999.25
739,-999.25,25.088,-999.25,-999.25,-999.25,-999.25
739.5,-999.25,24.304,-999.25,-999.25,-999.25,-999.25
740,-999.25,23.52,-999.25,-999.25,-999.25,-999.25
