depth,cali,gr,density,nphi,res
4963,12.253,41.866,1.842,0.527,1950
4963.5,12.253,41.866,1.842,0.527,1950
4964,12.253,40.633,1.842,0.527,1950
4964.5,12.253,39.806,1.842,0.527,1950
4965,12.253,40.474,1.842,0.527,1950
4965.5,12.253,41.348,1.842,0.527,1950
4966,12.253,42.266,1.842,0.527,1950
4966.5,12.253,42.763,1.842,0.527,1950
4967,12.253,40.881,1.842,0.527,1950
4967.5,12.253,40.98,1.842,0.527,1950
4968,12.253,39.747,1.842,0.527,1950
4968.5,12.253,40.105,1.842,0.527,1950
4969,12.251,40.164,1.842,0.527,1950
4969.5,12.26,41.061,1.842,0.588,1950
4970,12.258,41.883,1.888,0.568,1950
4970.5,12.253,42.421,1.836,0.604,1950
4971,12.248,43.204,1.764,0.572,1950
4971.5,12.262,43.569,1.678,0.627,1950
4972,12.253,41.648,1.659,0.621,1950
4972.5,12.251,39.945,1.683,0.63,1950
4973,12.28,40.192,1.69,0.59,1950
4973.5,12.283,42.203,1.665,0.538,1950
4974,12.275,44.639,1.651,0.563,1950
4974.5,12.269,44.639,1.632,0.554,1950
4975,12.285,42.419,1.624,0.621,1950
4975.5,12.274,39.107,1.607,0.608,1950
4976,12.289,37.942,1.593,0.614,1950
4976.5,12.28,38.013,1.594,0.565,1950
4977,12.296,37.654,1.575,0.592,1950
4977.5,12.285,38.017,1.543,0.589,1950
4978,12.28,38.127,1.529,0.655,1950
4978.5,12.294,39.899,1.556,0.626,1950
4979,12.29,38.659,1.564,0.672,1950
4979.5,12.281,39.824,1.58,0.632,1950
4980,12.285,39.197,1.579,0.641,1950
4980.5,12.289,39.556,1.587,0.609,1950
4981,12.281,39.737,1.582,0.578,1950
4981.5,12.294,38.035,1.595,0.586,1950
4982,12.289,38.159,1.605,0.55,1950
4982.5,12.289,39.66,1.615,0.567,1950
4983,12.282,41.831,1.627,0.578,1950
4983.5,12.294,43.535,1.655,0.602,1950
4984,12.285,40.937,1.696,0.59,1950
4984.5,12.281,40.378,1.732,0.528,1950
4985,12.289,40.076,1.779,0.497,1950
