depth,cali,gr,density,nphi,res,sonic
5529,8.9652,50.1617,2.1215,0.6323,-999.25,122.8163
5529.5,10.3099,53.0429,2.0943,0.6098,-999.25,120.8652
5530,16.8392,56.3253,2.1805,0.6304,-999.25,122.6468
5530.5,20.612,54.8126,2.2248,0.6677,-999.25,125.877
5531,20.5702,59.2752,2.2455,0.6521,-999.25,124.5232
5531.5,20.6039,59.2469,2.2465,0.619,-999.25,121.664
5532,21.3458,57.493,2.2666,0.5883,-999.25,119.001
5532.5,12.1513,50.2424,2.178,0.5953,-999.25,119.6113
5533,12.3819,43.0764,2.123,0.6183,-999.25,121.6028
5533.5,12.3752,39.6776,2.1401,0.6324,-999.25,122.8184
5534,11.7715,41.7993,2.1777,0.6504,-999.25,124.3838
5534.5,11.4483,46.8475,2.1936,0.644,-999.25,123.825
5535,11.723,56.3593,2.2355,0.6184,-999.25,121.607
5535.5,11.1616,63.285,2.2429,0.5993,-999.25,119.9567
5536,12.3734,63.3294,2.2745,0.5841,-999.25,118.6367
5536.5,11.9263,66.623,2.3168,0.5721,-999.25,117.597
5537,11.4755,68.613,2.3104,0.5588,-999.25,116.4443
5537.5,11.8582,74.1502,2.276,0.5435,-999.25,115.1232
5538,12.9248,77.1402,2.249,0.5387,-999.25,114.7022
5538.5,14.2726,75.5602,2.2348,0.54,-999.25,114.8227
5539,12.7498,76.0525,2.2366,0.5437,-999.25,115.1417
5539.5,12.8724,75.2678,2.2355,0.5492,-999.25,115.6187
5540,14.2742,70.2846,2.2419,0.5486,-999.25,115.5617
5540.5,12.7914,71.1099,2.2115,0.5522,-999.25,115.8759
5541,12.9694,77.3405,2.163,0.5365,-999.25,114.5182
5541.5,12.9503,75.36,2.1644,0.543,-999.25,115.0821
5542,12.9457,70.4921,2.1621,0.5631,-999.25,116.8188
5542.5,13.9402,70.03,2.1848,0.5626,-999.25,116.7796
5543,13.6374,70.7627,2.2071,0.5669,-999.25,117.1453
5543.5,12.5367,72.0822,2.1913,0.5608,-999.25,116.6183
5544,12.6236,73.7298,2.1953,0.5443,-999.25,115.1878
5544.5,13.0823,76.3473,2.2264,0.5458,-999.25,115.3226
5545,13.9039,74.9091,2.2427,0.5436,-999.25,115.1287
5545.5,12.9281,73.728,2.2516,0.5448,-999.25,115.238
5546,12.4085,74.3083,2.2441,0.5496,-999.25,115.6544
5546.5,11.7388,73.8852,2.2452,0.5583,-999.25,116.3999
5547,11.4341,73.0746,2.2573,0.5803,-999.25,118.3072
5547.5,10.3184,75.3942,2.2742,0.5782,-999.25,118.1294
5548,10.1173,73.9053,2.2729,0.5724,-999.25,117.6267
5548.5,10.0009,71.0249,2.281,0.5664,-999.25,117.1077
5549,10.338,69.4361,2.2911,0.5669,-999.25,117.1498
5549.5,11.1486,72.476,2.2905,0.5759,-999.25,117.9307
5550,10.3085,75.4312,2.288,0.5645,-999.25,116.9423
5550.5,10.3153,75.1129,2.2756,0.5549,-999.25,116.1056
5551,10.1037,76.6887,2.2696,0.5513,-999.25,115.7977
5551.5,9.6246,79.1407,2.2753,0.5487,-999.25,115.5741
5552,10.1094,77.6498,2.2802,0.5386,-999.25,114.6945
5552.5,10.4292,79.4051,2.2905,0.541,-999.25,114.9083
5553,10.2874,76.3941,2.2876,0.5356,-999.25,114.4367
5553.5,10.0206,75.2485,2.2924,0.5474,-999.25,115.461
5554,10.9432,79.451,2.2995,0.5426,-999.25,115.0477
5554.5,10.6214,84.1561,2.3071,0.544,-999.25,115.1656
5555,10.9445,86.344,2.3316,0.5378,-999.25,114.6254
5555.5,11.8543,87.2644,2.3714,0.5163,-999.25,112.7649
5556,9.873,89.5367,2.3858,0.4812,-999.25,109.7274
5556.5,9.3304,84.5338,2.318,0.4572,-999.25,107.6483
5557,9.5029,71.6022,2.0583,0.3622,-999.25,99.4175
5557.5,9.5397,79.4685,2.0883,0.3416,-999.25,97.6399
5558,9.7297,87.3263,2.2796,0.3952,-999.25,102.2747
